SYSTEM,Empire,DISTANCE,GOOD,Between 140 - 160 Ly,,,Update : 18/08/15 - rev 1383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACTION,Federation,DATAS,OK,Between 130 - 140 Ly and 160 - 180 Ly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alliance,,MAYBE,Between 180 - 240 Ly (good FSD),,,Rev 1382 xlsx download link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Independent,,LOW DIST,Under 50 Ly (accumulate rare goods),,,"""#NAME?"" problem : POW function translation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No Data,,BAD,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only 50 users can edit or comment on a GoogleDoc (Google limits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please use this link if you only want to see current datas !!!,,,,,,,"You can comment undefined datas, I will update cells ! Thank you for your help !",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This will save slots for people who want to add comments and help with new datas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,x,-7.31,-14.13,-14.13,46.91,100.75,-11.56,-32.41,3.03,-12.31,-77.28,124.63,125.66,104.97,19.66,85.16,49.53,-36.47,81.63,67.88,5.19,26.28,20.75,-40.53,-12.16,53.91,137.31,72.16,-29.66,3.13,-22.84,120.78,-107.88,-30.03,-6.03,22.5,-12.09,-7.03,150.88,-142.03,-88.75,-56,-76.97,-23.19,-45.78,-8.16,122.97,-101.59,58.69,58.53,140.72,39.53,157.53,-11.03,-105.38,5.53,-123.88,12.47,-125.59,134.03,-67.41,-104.16,81.03,75.75,-28.72,72.75,72.75,-45.47,9.53,67.03,12.78,73.44,-34.94,-147.47,6.25,75.44,62.75,-122.78,169.5,8.88,-139.06,68.84,44.28,52.09,-96.94,94.16,-64.75,153.44,55.72,1.69,-13.13,-49.75,-90.69,10.5,155.09,68.84,-0.16,-95.22,-44.94,-88.5,-21.91,-50.94,36.53,145.13,-13.25,-126.09,68.31,-19.81,4.94,80.75,-19.81,x,,
Use this link for comments on datas or copy this spreadsheet (use 1 slot) !,,,,,,y,-20.28,-116.97,-116.97,23.63,-102.63,43.81,169.53,-0.09,-2.75,-57.437,2.5,-1.72,-6.53,26.84,-56.31,15.75,16.16,-94.88,-21.5,84.53,-51.75,-82.25,4.18,62.63,-130.69,3.84,48.75,32.69,-8.88,36.53,-247.19,29.56,72.34,-30.38,23.78,-16,-12.88,-173.78,-13.34,-76.75,-25.13,71.91,80.03,-93,74.81,-9.06,93.78,-170.97,-55.81,-96.97,21.28,-110.53,-79.22,-73.34,-183.41,-81.59,-66.72,44.03,-163.59,-7.41,82.72,52.84,48.75,-35.72,48.75,48.75,18.56,59.31,39.59,4.81,58.34,-44.16,-64.13,-5.78,2.63,-74.19,-102.53,-42.34,-205.44,-2.31,48.75,-82.97,-112.09,143.44,-167.38,57.22,61.44,17.59,-77.88,-81,-19.03,8.13,-34.78,-12.41,48.75,-102.75,9.88,36.94,-12.31,8.13,90.22,100.06,-140.06,-52.06,-83.09,-190.03,-35.38,-175.91,48.75,-3.25,y,,
Copy datas on your own spreadsheet for easy access with frozen columns and rows.,,,,,,z,-50.91,-32.53,-32.53,-59.75,8.41,11.63,-49.44,3.16,11,30.53,61.25,14.09,-4.41,-38.09,40.34,-91.72,-34.94,-58.56,51.16,-16.75,4.63,33.59,-124.25,29.72,14.66,-35.91,70.75,104.84,7.13,-1.19,-16.44,-20.94,-23.81,-59.03,171.06,-14.22,-56.38,25.28,-43.91,-39.63,-44.28,69.19,61.84,-83.91,-105.13,69,9.91,-41.97,91.25,67.78,56.63,28.25,-92.31,27.75,63.84,45.19,-22.91,78.41,71.06,150.06,-32.38,31.5,70.75,-61.44,68.25,68.25,12.59,-13.22,-70.09,39.34,-0.22,-77.34,46.09,35.94,-30.88,109.5,-22.56,87.06,64.38,-6.66,76.75,52.5,-40.78,4.63,-23.19,-82.63,79.03,27.16,-30.09,-20.28,-45,-79.53,25.06,61.06,74.75,-5.56,-74.13,13.47,98.84,9,65.81,-135.72,131.97,-65.88,-85.56,12.38,34,-0.91,69.25,-14.28,z,,
And please release your slot for someone else. Thank you !,,,,, = black market,MAXIMUM CAP,17 t,7 t,12 t,14 t,15 t,4 t,14 t,7 t,22 t,16 t,16 t,11 t,12 t,5 t,18 t,18 t,10 t,11 t,12 t,3 t,18 t,20 t,15 t,13 t,17 t,7 t,15 t,13 t,11 t,8 t,9 t,10 t,7 t,10 t,26 t,9-17 t,22 t,16 t,ND,2 t,13 t,8 t,6 t,13 t,ND,ND,19 t,7 t,16 t,12-16 t,6 t,18 t,32 t,10 t,6 t,12 t,ND,5 t,18 t,3 t,16 t,20 t,7 t,7 t,14 t,7 t,ND,13 t,8 t,18 t,ND,7 t,15 t,19 t,13 t,10 t,18 t,ND,ND,14 t,16 t,6 t,10 t,16-27 t,11 t,10 t,17 t,6 t,9 t ,8 t,24 t,11 t,16 t,16 t,14 t,15 t,7 t,20 t ,10 t,8 t,5 t,6 t,19 t,9 t,10 t,17 t,10 t,5t,1 t,18 t,MAXIMUM CAP,,
